data,loja,regiao,produto,categoria,quantidade,preco_unitario
2023-04-14,Loja do Hugo,Lourdes,Pizza Doce,Doces Caseiros,1.0,96.04362002659066
2023-01-02,Loja do Parreira,Barro Preto,Sorvete,Doces Frios,9.0,53.05389799274319
2023-04-18,Loja da Isabela,Lourdes,Pipoca Doce,Pizza,1.0,63.843882407360184
2023-11-30,Loja do Hugo,Barroca,Pizza Doce,Doces Caseiros,5.0,90.31006398965306
2023-07-19,Loja do Hugo,Barro Preto,Pizza Doce,Doces Caseiros,4.0,87.41298451918291
2023-11-12,Loja do Parreira,Barroca,Sorvete,Pizza,,59.226050967818864
2023-11-07,Loja da Isabela,Barro Preto,Pipoca Doce,Doces Frios,,60.467466166835514
2023-10-22,Loja da Isabela,Barro Preto,Sorvete,Doces Frios,,68.5236051395691
2023-09-18,Loja do Hugo,Savassi,Pipoca Doce,Doces Caseiros,,74.22614925955106
2023-07-07,Loja do Francisco,Barroca,Chocolate,Pizza,,80.9127385765148
2023-03-07,Loja do Hugo,Lourdes,Açaí,Doces Frios,,68.44568197848862
2023-04-22,Loja do Hugo,Lourdes,Açaí,Pizza,13.0,73.1267358066574
2023-07-01,Loja do Hugo,Barroca,Açaí,Pizza,6.0,87.37354690668784
2023-11-11,Loja do Hugo,Lourdes,Sorvete,Doces Caseiros,2.0,51.834160144529896
2023-06-30,Loja do Parreira,Lourdes,Chocolate,Doces Frios,3.0,62.62184721720104
2023-07-14,Loja da Isabela,Barroca,Pipoca Doce,Doces Caseiros,5.0,85.66747929422762
2023-11-19,Loja do Parreira,Barro Preto,Pizza Doce,Doces Frios,9.0,94.76034188435997
2023-05-05,Loja do Parreira,Barroca,Pipoca Doce,Doces Frios,2.0,75.58387210578331
2023-02-14,Loja do Parreira,Barro Preto,Pizza Doce,Doces Frios,10.0,76.60567426326578
2023-06-01,Loja do Hugo,Lourdes,Pipoca Doce,Doces Frios,8.0,55.358600566988805
2023-06-29,Loja do Francisco,Lourdes,Chocolate,Doces Frios,14.0,
2023-03-16,Loja da Isabela,Lourdes,Pizza Doce,Pizza,2.0,
2023-09-18,Loja do Francisco,Savassi,Sorvete,Doces Caseiros,11.0,
2023-10-25,Loja do Parreira,Barro Preto,Pipoca Doce,Pizza,13.0,
2023-01-20,Loja do Parreira,Savassi,Pipoca Doce,Doces Frios,5.0,
2023-01-25,Loja do Francisco,Savassi,Pizza Doce,Doces Caseiros,7.0,
2023-12-04,Loja do Francisco,Barroca,Sorvete,Doces Frios,8.0,66.10395827915892
2023-11-30,Loja do Francisco,Savassi,Sorvete,Doces Caseiros,1.0,60.572400349827234
2023-01-04,Loja do Parreira,Barroca,Chocolate,Pizza,6.0,66.37486760889573
